,player_id,first_name,first_initial,last_name,full_name_x,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand,full_name_y,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
0,b510,Allen,A,Belobrajdic,Belobrajdic A,http://www.atpworldtour.com/en/players/allen-belobrajdic/b510/overview,AUS,"Sydney, NSW, Australia","Sydney, NSW, Australia",19760918,1976.0,9.0,18.0,1995.0,148.0,67.0,"5'9""",69.0,175.0,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
1,bq65,Allen,A,Behr,Behr A,http://www.atpworldtour.com/en/players/allen-behr/bq65/overview,USA,,,,,,,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
2,ci98,Allen,A,Cleveland,Cleveland A,http://www.atpworldtour.com/en/players/allen-cleveland/ci98/overview,USA,,,,,,,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
3,f956,Allen,A,Fox,Fox A,http://www.atpworldtour.com/en/players/allen-fox/f956/overview,USA,,,19390625,1939.0,6.0,25.0,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
4,md81,Allen,A,Morris,Morris A,http://www.atpworldtour.com/en/players/allen-morris/md81/overview,,,,,,,,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
5,q008,Allen,A,Quay,Quay A,http://www.atpworldtour.com/en/players/allen-quay/q008/overview,USA,,"South Orange, NJ, U.S.A.",,,,,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
6,s303,Allen,A,Shapter,Shapter A,http://www.atpworldtour.com/en/players/allen-shapter/s303/overview,AUS,,"Sydney, NSW, Australia",19411105,1941.0,11.0,5.0,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7,td61,Allen,A,Tong,Tong A,http://www.atpworldtour.com/en/players/allen-tong/td61/overview,USA,,,,,,,,,,,,,,,Allen,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
8,re99,Caldwell,C,Russell,Russell C,http://www.atpworldtour.com/en/players/caldwell-russell/re99/overview,USA,,,,,,,,,,,,,,,Caldwell,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
9,td53,Williams,W,Tully,Tully W,http://www.atpworldtour.com/en/players/williams-tully/td53/overview,USA,,,19251209,1925.0,12.0,9.0,,,,,,,,,Williams,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
