,Best of,first_rank,second_rank,first_weight_kg,first_height_cm,second_weight_kg,second_height_cm,first_birth_year,second_birth_year,first_home_country,second_home_country,first_1,second_1,first_2,second_2,first_3,second_3,first_4,second_4,first_5,second_5,first_6,second_6,first_service_games_won,first_total_service_points_won,first_1st_serve_return_points_won,first_2nd_serve_return_points_won,first_break_points_opportunities,first_break_points_converted,first_return_games_played,first_return_games_won,first_return_points_won,second_service_games_won,second_total_service_points_won,second_1st_serve_return_points_won,second_2nd_serve_return_points_won,second_break_points_opportunities,second_break_points_converted,second_return_games_played,second_return_games_won,second_return_points_won,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,encoded_court,encoded_surface,encoded_round,timestamp
0,3.0,38.0,85.0,79.0,185.0,86.0,198.0,1996.0,1997.0,0,0,7.0,5.0,3.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,2.2,1.61,0.81,0.65,0.27,0.5,1979,0.39,3720,0.21,0.36,0.82,0.66,0.31,0.51,3573,0.42,5944,0.25,0.38,0,0,0,0,0,0,1,0,1,3,0,1439856000.0
1,3.0,30.0,48.0,70.0,183.0,81.0,183.0,1984.0,1983.0,0,0,6.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.72,0.76,0.62,0.31,0.52,6671,0.42,10604,0.27,0.4,0.71,0.6,0.31,0.5,2247,0.41,3648,0.25,0.39,1,0,0,0,0,0,0,0,1,1,4,1400716800.0
2,5.0,4.0,34.0,81.0,183.0,80.0,191.0,1985.0,1989.0,0,0,4.0,6.0,6.0,4.0,7.0,5.0,4.0,6.0,6.0,4.0,1.05,11.0,0.83,0.65,0.3,0.49,6158,0.39,10632,0.23,0.38,0.75,0.61,0.29,0.51,1861,0.42,3354,0.23,0.37,0,0,1,0,0,0,0,0,1,3,0,1484524800.0
3,3.0,74.0,76.0,76.0,180.0,79.0,185.0,1993.0,1992.0,0,0,2.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.33,0.73,0.6,0.3,0.5,1024,0.44,1860,0.24,0.38,0.73,0.6,0.29,0.5,1947,0.39,3412,0.22,0.37,1,0,0,0,0,0,0,0,1,2,0,1529798400.0
4,5.0,13.0,37.0,80.0,183.0,78.0,185.0,1979.0,1981.0,0,0,1.0,6.0,7.0,6.0,2.0,6.0,3.0,6.0,0.0,0.0,1.833,1.833,0.75,0.61,0.31,0.5,3119,0.42,5308,0.25,0.38,0.76,0.62,0.3,0.52,5057,0.42,8519,0.25,0.38,0,0,1,0,0,0,0,0,1,3,0,1074470400.0
5,3.0,89.0,219.0,70.0,175.0,84.0,191.0,1990.0,1995.0,1,0,7.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.72,0.77,0.62,0.27,0.5,1610,0.37,3037,0.19,0.36,0.79,0.64,0.25,0.44,370,0.36,958,0.14,0.32,1,0,0,0,0,0,0,0,1,1,0,1619395200.0
6,5.0,71.0,12.0,78.0,183.0,80.0,188.0,1997.0,1995.0,0,0,4.0,6.0,6.0,3.0,7.0,5.0,0.0,6.0,2.0,6.0,6.5,1.11,0.74,0.61,0.32,0.5,1020,0.36,1598,0.23,0.39,0.79,0.63,0.3,0.51,1447,0.42,2534,0.24,0.38,0,0,1,0,0,0,0,0,1,2,1,1656460800.0
7,5.0,16.0,11.0,89.0,198.0,75.0,178.0,1988.0,1989.0,0,0,6.0,3.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,1.8,0.84,0.66,0.3,0.5,6198,0.38,10518,0.23,0.38,0.8,0.64,0.31,0.53,5076,0.41,7621,0.27,0.4,0,0,1,0,0,0,0,0,1,3,7,1410134400.0
8,5.0,14.0,31.0,84.0,188.0,73.0,183.0,1978.0,1982.0,0,0,6.0,1.0,6.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.8,2.0,0.82,0.65,0.29,0.5,6230,0.4,10643,0.23,0.38,0.77,0.62,0.3,0.51,6639,0.41,10825,0.25,0.39,0,0,1,0,0,0,0,0,1,1,3,1370217600.0
9,3.0,89.0,17.0,78.0,183.0,76.0,183.0,1997.0,1988.0,1,0,6.0,2.0,3.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,2.62,1.44,0.74,0.61,0.32,0.5,1020,0.36,1598,0.23,0.39,0.8,0.64,0.3,0.53,4268,0.42,6701,0.27,0.4,1,0,0,0,0,0,0,0,1,1,1,1532476800.0
10,3.0,6.0,42.0,75.0,178.0,83.0,185.0,1967.0,1980.0,0,0,6.0,3.0,2.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.3,3.39,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.78,0.64,0.3,0.5,3909,0.41,6666,0.24,0.38,0,0,0,1,0,0,0,0,1,3,6,1153526400.0
