,full_name,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
0,Acuna R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
1,Abdullahi S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
2,Aerts N,4,13,0.61,0.7,0.53,19,0.74,28,0.82,0.63,0.28,0.45,11,0.36,29,0.14,0.34,0.49
3,Adams E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
4,Agenor R,643,394,0.64,0.65,0.48,1721,0.57,2468,0.7,0.59,0.3,0.51,1500,0.4,2466,0.25,0.38,0.49
5,Aguilera J,32,51,0.57,0.63,0.41,151,0.5,181,0.58,0.54,0.31,0.46,84,0.49,183,0.22,0.37,0.46
6,Albert M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7,Alciati M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
8,Akel R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
9,Alexander J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
10,Alfred L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
11,Allan T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
12,Ampon M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
13,Allgardh C,23,17,0.64,0.64,0.55,42,0.57,68,0.74,0.61,0.29,0.41,28,0.32,69,0.13,0.33,0.47
14,Amritraj A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
15,Amritraj V,0,0,0.71,0.41,0.5,8,0.25,9,0.33,0.44,0.37,0.59,8,0.38,9,0.33,0.42,0.43
16,Andrade JC,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
17,Andrews A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
18,Anger M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
19,Annacone P,82,66,0.55,0.71,0.46,92,0.62,133,0.74,0.6,0.25,0.5,47,0.4,131,0.15,0.34,0.48
20,Antonitsch A,538,405,0.55,0.7,0.49,924,0.6,1402,0.74,0.6,0.29,0.48,768,0.4,1417,0.22,0.37,0.49
21,Aprili C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
22,Arguello R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
23,Arias J,132,202,0.69,0.63,0.49,582,0.58,806,0.7,0.59,0.31,0.52,523,0.42,821,0.27,0.4,0.49
24,Armellini M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
25,Arrese J,248,493,0.72,0.62,0.48,1995,0.56,2780,0.68,0.58,0.34,0.54,2023,0.44,2801,0.32,0.42,0.5
26,Arraya P,126,98,0.61,0.65,0.48,283,0.55,425,0.7,0.59,0.31,0.47,242,0.42,428,0.24,0.38,0.48
27,Artaldi E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
28,Avendano J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
29,Azar R,120,207,0.69,0.62,0.44,594,0.55,757,0.65,0.56,0.28,0.5,414,0.4,772,0.22,0.36,0.46
30,Acioly R,6,13,0.7,0.68,0.45,7,0.43,21,0.81,0.61,0.33,0.44,16,0.25,20,0.2,0.36,0.49
31,Alvarez A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
32,Amaya V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
33,Ayala JC,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
34,Arenzon M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
35,Austin J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
36,Addison T,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
37,Alvarez EL,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
38,Amaya G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
39,Anderson M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
40,Andrew J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
41,Ashe A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
42,Andrews J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
