,0
0,1
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,1
66,0
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,0
75,0
76,1
77,1
78,0
79,1
80,1
81,1
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,0
148,1
149,1
150,1
151,0
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,1
214,1
215,1
216,0
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,1
275,0
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,0
284,1
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,1
299,0
300,0
301,0
302,1
303,0
304,1
305,0
306,0
307,0
308,0
309,1
310,1
311,0
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,1
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,0
349,1
350,1
351,0
352,0
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,1
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,0
429,0
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,1
446,0
447,0
448,0
449,1
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,1
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,1
500,0
501,1
502,1
503,1
504,0
505,1
506,1
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,1
555,1
556,1
557,0
558,1
559,1
560,1
561,0
562,1
563,0
564,0
565,1
566,1
567,0
568,1
569,1
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,0
590,0
591,1
592,0
593,1
594,0
595,1
596,1
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,1
614,1
615,0
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,1
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,0
645,1
646,1
647,0
648,0
649,0
650,0
651,0
652,1
653,1
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,1
671,0
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,0
680,1
681,1
682,0
683,1
684,0
685,1
686,1
687,0
688,1
689,0
690,1
691,0
692,0
693,0
694,0
695,0
696,1
697,0
698,0
699,0
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,1
708,1
709,1
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,0
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,0
758,0
759,1
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,1
774,0
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,0
794,1
795,0
796,0
797,1
798,1
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,0
812,1
